Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,Alabama,01,2007,2007,Under 15 years,15-,135,2007
,Alabama,01,2007,2007,15 - 17 years,15-17,2558,2007
,Alabama,01,2007,2007,18 - 19 years,18-19,4506,2007
,Alabama,01,2007,2007,20-24 years,20-24,9562,2007
,Alabama,01,2007,2007,25-29 years,25-29,6391,2007
,Alabama,01,2007,2007,30-34 years,30-34,2892,2007
,Alabama,01,2007,2007,35-39 years,35-39,1057,2007
,Alabama,01,2007,2007,40-44 years,40-44,181,2007
,Alabama,01,2007,2007,45-49 years,45-49,11,2007
,Alaska,02,2007,2007,15 - 17 years,15-17,249,2007
,Alaska,02,2007,2007,18 - 19 years,18-19,678,2007
,Alaska,02,2007,2007,20-24 years,20-24,1597,2007
,Alaska,02,2007,2007,25-29 years,25-29,1054,2007
,Alaska,02,2007,2007,30-34 years,30-34,504,2007
,Alaska,02,2007,2007,35-39 years,35-39,230,2007
,Alaska,02,2007,2007,40-44 years,40-44,44,2007
,Arizona,04,2007,2007,Under 15 years,15-,179,2007
,Arizona,04,2007,2007,15 - 17 years,15-17,3832,2007
,Arizona,04,2007,2007,18 - 19 years,18-19,6195,2007
,Arizona,04,2007,2007,20-24 years,20-24,12315,2007
,Arizona,04,2007,2007,25-29 years,25-29,8363,2007
,Arizona,04,2007,2007,30-34 years,30-34,4642,2007
,Arizona,04,2007,2007,35-39 years,35-39,1829,2007
,Arizona,04,2007,2007,40-44 years,40-44,360,2007
,Arizona,04,2007,2007,45-49 years,45-49,29,2007
,Arkansas,05,2007,2007,Under 15 years,15-,102,2007
,Arkansas,05,2007,2007,15 - 17 years,15-17,1611,2007
,Arkansas,05,2007,2007,18 - 19 years,18-19,3043,2007
,Arkansas,05,2007,2007,20-24 years,20-24,6233,2007
,Arkansas,05,2007,2007,25-29 years,25-29,3515,2007
,Arkansas,05,2007,2007,30-34 years,30-34,1344,2007
,Arkansas,05,2007,2007,35-39 years,35-39,439,2007
,Arkansas,05,2007,2007,40-44 years,40-44,78,2007
,California,06,2007,2007,Under 15 years,15-,651,2007
,California,06,2007,2007,15 - 17 years,15-17,16003,2007
,California,06,2007,2007,18 - 19 years,18-19,27755,2007
,California,06,2007,2007,20-24 years,20-24,63732,2007
,California,06,2007,2007,25-29 years,25-29,52030,2007
,California,06,2007,2007,30-34 years,30-34,39191,2007
,California,06,2007,2007,35-39 years,35-39,18390,2007
,California,06,2007,2007,40-44 years,40-44,4066,2007
,California,06,2007,2007,45-49 years,45-49,336,2007
,California,06,2007,2007,50 years and over,50+,26,2007
,Colorado,08,2007,2007,Under 15 years,15-,98,2007
,Colorado,08,2007,2007,15 - 17 years,15-17,2003,2007
,Colorado,08,2007,2007,18 - 19 years,18-19,3389,2007
,Colorado,08,2007,2007,20-24 years,20-24,8061,2007
,Colorado,08,2007,2007,25-29 years,25-29,7445,2007
,Colorado,08,2007,2007,30-34 years,30-34,5480,2007
,Colorado,08,2007,2007,35-39 years,35-39,2521,2007
,Colorado,08,2007,2007,40-44 years,40-44,442,2007
,Colorado,08,2007,2007,45-49 years,45-49,26,2007
,Connecticut,09,2007,2007,Under 15 years,15-,32,2007
,Connecticut,09,2007,2007,15 - 17 years,15-17,828,2007
,Connecticut,09,2007,2007,18 - 19 years,18-19,1585,2007
,Connecticut,09,2007,2007,20-24 years,20-24,3968,2007
,Connecticut,09,2007,2007,25-29 years,25-29,4719,2007
,Connecticut,09,2007,2007,30-34 years,30-34,4034,2007
,Connecticut,09,2007,2007,35-39 years,35-39,1904,2007
,Connecticut,09,2007,2007,40-44 years,40-44,414,2007
,Connecticut,09,2007,2007,45-49 years,45-49,33,2007
,Delaware,10,2007,2007,Under 15 years,15-,17,2007
,Delaware,10,2007,2007,15 - 17 years,15-17,351,2007
,Delaware,10,2007,2007,18 - 19 years,18-19,641,2007
,Delaware,10,2007,2007,20-24 years,20-24,1509,2007
,Delaware,10,2007,2007,25-29 years,25-29,1240,2007
,Delaware,10,2007,2007,30-34 years,30-34,826,2007
,Delaware,10,2007,2007,35-39 years,35-39,298,2007
,Delaware,10,2007,2007,40-44 years,40-44,71,2007
,District of Columbia,11,2007,2007,Under 15 years,15-,21,2007
,District of Columbia,11,2007,2007,15 - 17 years,15-17,362,2007
,District of Columbia,11,2007,2007,18 - 19 years,18-19,501,2007
,District of Columbia,11,2007,2007,20-24 years,20-24,877,2007
,District of Columbia,11,2007,2007,25-29 years,25-29,703,2007
,District of Columbia,11,2007,2007,30-34 years,30-34,920,2007
,District of Columbia,11,2007,2007,35-39 years,35-39,566,2007
,District of Columbia,11,2007,2007,40-44 years,40-44,112,2007
,Florida,12,2007,2007,Under 15 years,15-,371,2007
,Florida,12,2007,2007,15 - 17 years,15-17,7301,2007
,Florida,12,2007,2007,18 - 19 years,18-19,13408,2007
,Florida,12,2007,2007,20-24 years,20-24,31050,2007
,Florida,12,2007,2007,25-29 years,25-29,24344,2007
,Florida,12,2007,2007,30-34 years,30-34,15084,2007
,Florida,12,2007,2007,35-39 years,35-39,6699,2007
,Florida,12,2007,2007,40-44 years,40-44,1351,2007
,Florida,12,2007,2007,45-49 years,45-49,97,2007
,Georgia,13,2007,2007,Under 15 years,15-,270,2007
,Georgia,13,2007,2007,15 - 17 years,15-17,4943,2007
,Georgia,13,2007,2007,18 - 19 years,18-19,8789,2007
,Georgia,13,2007,2007,20-24 years,20-24,18087,2007
,Georgia,13,2007,2007,25-29 years,25-29,13578,2007
,Georgia,13,2007,2007,30-34 years,30-34,8213,2007
,Georgia,13,2007,2007,35-39 years,35-39,3379,2007
,Georgia,13,2007,2007,40-44 years,40-44,668,2007
,Georgia,13,2007,2007,45-49 years,45-49,44,2007
,Hawaii,15,2007,2007,Under 15 years,15-,18,2007
,Hawaii,15,2007,2007,15 - 17 years,15-17,423,2007
,Hawaii,15,2007,2007,18 - 19 years,18-19,890,2007
,Hawaii,15,2007,2007,20-24 years,20-24,2454,2007
,Hawaii,15,2007,2007,25-29 years,25-29,1867,2007
,Hawaii,15,2007,2007,30-34 years,30-34,1321,2007
,Hawaii,15,2007,2007,35-39 years,35-39,665,2007
,Hawaii,15,2007,2007,40-44 years,40-44,142,2007
,Hawaii,15,2007,2007,45-49 years,45-49,17,2007
,Idaho,16,2007,2007,Under 15 years,15-,17,2007
,Idaho,16,2007,2007,15 - 17 years,15-17,576,2007
,Idaho,16,2007,2007,18 - 19 years,18-19,1304,2007
,Idaho,16,2007,2007,20-24 years,20-24,3779,2007
,Idaho,16,2007,2007,25-29 years,25-29,2117,2007
,Idaho,16,2007,2007,30-34 years,30-34,842,2007
,Idaho,16,2007,2007,35-39 years,35-39,347,2007
,Idaho,16,2007,2007,40-44 years,40-44,59,2007
,Illinois,17,2007,2007,Under 15 years,15-,252,2007
,Illinois,17,2007,2007,15 - 17 years,15-17,5373,2007
,Illinois,17,2007,2007,18 - 19 years,18-19,9060,2007
,Illinois,17,2007,2007,20-24 years,20-24,19417,2007
,Illinois,17,2007,2007,25-29 years,25-29,19018,2007
,Illinois,17,2007,2007,30-34 years,30-34,12417,2007
,Illinois,17,2007,2007,35-39 years,35-39,4940,2007
,Illinois,17,2007,2007,40-44 years,40-44,935,2007
,Illinois,17,2007,2007,45-49 years,45-49,68,2007
,Indiana,18,2007,2007,Under 15 years,15-,109,2007
,Indiana,18,2007,2007,15 - 17 years,15-17,2739,2007
,Indiana,18,2007,2007,18 - 19 years,18-19,5440,2007
,Indiana,18,2007,2007,20-24 years,20-24,12137,2007
,Indiana,18,2007,2007,25-29 years,25-29,9315,2007
,Indiana,18,2007,2007,30-34 years,30-34,4264,2007
,Indiana,18,2007,2007,35-39 years,35-39,1446,2007
,Indiana,18,2007,2007,40-44 years,40-44,236,2007
,Indiana,18,2007,2007,45-49 years,45-49,12,2007
,Iowa,19,2007,2007,Under 15 years,15-,41,2007
,Iowa,19,2007,2007,15 - 17 years,15-17,905,2007
,Iowa,19,2007,2007,18 - 19 years,18-19,1990,2007
,Iowa,19,2007,2007,20-24 years,20-24,5232,2007
,Iowa,19,2007,2007,25-29 years,25-29,4801,2007
,Iowa,19,2007,2007,30-34 years,30-34,1881,2007
,Iowa,19,2007,2007,35-39 years,35-39,605,2007
,Iowa,19,2007,2007,40-44 years,40-44,106,2007
,Kansas,20,2007,2007,Under 15 years,15-,47,2007
,Kansas,20,2007,2007,15 - 17 years,15-17,1157,2007
,Kansas,20,2007,2007,18 - 19 years,18-19,2296,2007
,Kansas,20,2007,2007,20-24 years,20-24,5515,2007
,Kansas,20,2007,2007,25-29 years,25-29,4310,2007
,Kansas,20,2007,2007,30-34 years,30-34,1913,2007
,Kansas,20,2007,2007,35-39 years,35-39,634,2007
,Kansas,20,2007,2007,40-44 years,40-44,116,2007
,Kentucky,21,2007,2007,Under 15 years,15-,92,2007
,Kentucky,21,2007,2007,15 - 17 years,15-17,1970,2007
,Kentucky,21,2007,2007,18 - 19 years,18-19,4116,2007
,Kentucky,21,2007,2007,20-24 years,20-24,8492,2007
,Kentucky,21,2007,2007,25-29 years,25-29,6103,2007
,Kentucky,21,2007,2007,30-34 years,30-34,2566,2007
,Kentucky,21,2007,2007,35-39 years,35-39,959,2007
,Kentucky,21,2007,2007,40-44 years,40-44,175,2007
,Kentucky,21,2007,2007,45-49 years,45-49,13,2007
,Louisiana,22,2007,2007,Under 15 years,15-,165,2007
,Louisiana,22,2007,2007,15 - 17 years,15-17,2413,2007
,Louisiana,22,2007,2007,18 - 19 years,18-19,4608,2007
,Louisiana,22,2007,2007,20-24 years,20-24,9812,2007
,Louisiana,22,2007,2007,25-29 years,25-29,5896,2007
,Louisiana,22,2007,2007,30-34 years,30-34,2355,2007
,Louisiana,22,2007,2007,35-39 years,35-39,919,2007
,Louisiana,22,2007,2007,40-44 years,40-44,174,2007
,Maine,23,2007,2007,15 - 17 years,15-17,238,2007
,Maine,23,2007,2007,18 - 19 years,18-19,758,2007
,Maine,23,2007,2007,20-24 years,20-24,1996,2007
,Maine,23,2007,2007,25-29 years,25-29,1750,2007
,Maine,23,2007,2007,30-34 years,30-34,992,2007
,Maine,23,2007,2007,35-39 years,35-39,434,2007
,Maine,23,2007,2007,40-44 years,40-44,74,2007
,Maryland,24,2007,2007,Under 15 years,15-,90,2007
,Maryland,24,2007,2007,15 - 17 years,15-17,1988,2007
,Maryland,24,2007,2007,18 - 19 years,18-19,3693,2007
,Maryland,24,2007,2007,20-24 years,20-24,8634,2007
,Maryland,24,2007,2007,25-29 years,25-29,8435,2007
,Maryland,24,2007,2007,30-34 years,30-34,6496,2007
,Maryland,24,2007,2007,35-39 years,35-39,2846,2007
,Maryland,24,2007,2007,40-44 years,40-44,622,2007
,Maryland,24,2007,2007,45-49 years,45-49,57,2007
,Massachusetts,25,2007,2007,Under 15 years,15-,49,2007
,Massachusetts,25,2007,2007,15 - 17 years,15-17,1452,2007
,Massachusetts,25,2007,2007,18 - 19 years,18-19,2830,2007
,Massachusetts,25,2007,2007,20-24 years,20-24,7365,2007
,Massachusetts,25,2007,2007,25-29 years,25-29,9251,2007
,Massachusetts,25,2007,2007,30-34 years,30-34,9232,2007
,Massachusetts,25,2007,2007,35-39 years,35-39,3972,2007
,Massachusetts,25,2007,2007,40-44 years,40-44,870,2007
,Massachusetts,25,2007,2007,45-49 years,45-49,71,2007
,Michigan,26,2007,2007,Under 15 years,15-,182,2007
,Michigan,26,2007,2007,15 - 17 years,15-17,3540,2007
,Michigan,26,2007,2007,18 - 19 years,18-19,6611,2007
,Michigan,26,2007,2007,20-24 years,20-24,14800,2007
,Michigan,26,2007,2007,25-29 years,25-29,13367,2007
,Michigan,26,2007,2007,30-34 years,30-34,7447,2007
,Michigan,26,2007,2007,35-39 years,35-39,2726,2007
,Michigan,26,2007,2007,40-44 years,40-44,483,2007
,Michigan,26,2007,2007,45-49 years,45-49,39,2007
,Minnesota,27,2007,2007,Under 15 years,15-,64,2007
,Minnesota,27,2007,2007,15 - 17 years,15-17,1400,2007
,Minnesota,27,2007,2007,18 - 19 years,18-19,2921,2007
,Minnesota,27,2007,2007,20-24 years,20-24,8141,2007
,Minnesota,27,2007,2007,25-29 years,25-29,9426,2007
,Minnesota,27,2007,2007,30-34 years,30-34,5165,2007
,Minnesota,27,2007,2007,35-39 years,35-39,1826,2007
,Minnesota,27,2007,2007,40-44 years,40-44,328,2007
,Minnesota,27,2007,2007,45-49 years,45-49,22,2007
,Mississippi,28,2007,2007,Under 15 years,15-,153,2007
,Mississippi,28,2007,2007,15 - 17 years,15-17,2304,2007
,Mississippi,28,2007,2007,18 - 19 years,18-19,3702,2007
,Mississippi,28,2007,2007,20-24 years,20-24,6587,2007
,Mississippi,28,2007,2007,25-29 years,25-29,3723,2007
,Mississippi,28,2007,2007,30-34 years,30-34,1363,2007
,Mississippi,28,2007,2007,35-39 years,35-39,497,2007
,Mississippi,28,2007,2007,40-44 years,40-44,83,2007
,Missouri,29,2007,2007,Under 15 years,15-,103,2007
,Missouri,29,2007,2007,15 - 17 years,15-17,2408,2007
,Missouri,29,2007,2007,18 - 19 years,18-19,4962,2007
,Missouri,29,2007,2007,20-24 years,20-24,11033,2007
,Missouri,29,2007,2007,25-29 years,25-29,8476,2007
,Missouri,29,2007,2007,30-34 years,30-34,3866,2007
,Missouri,29,2007,2007,35-39 years,35-39,1355,2007
,Missouri,29,2007,2007,40-44 years,40-44,209,2007
,Missouri,29,2007,2007,45-49 years,45-49,15,2007
,Montana,30,2007,2007,15 - 17 years,15-17,324,2007
,Montana,30,2007,2007,18 - 19 years,18-19,679,2007
,Montana,30,2007,2007,20-24 years,20-24,1691,2007
,Montana,30,2007,2007,25-29 years,25-29,1293,2007
,Montana,30,2007,2007,30-34 years,30-34,701,2007
,Montana,30,2007,2007,35-39 years,35-39,234,2007
,Montana,30,2007,2007,40-44 years,40-44,42,2007
,Nebraska,31,2007,2007,Under 15 years,15-,23,2007
,Nebraska,31,2007,2007,15 - 17 years,15-17,617,2007
,Nebraska,31,2007,2007,18 - 19 years,18-19,1221,2007
,Nebraska,31,2007,2007,20-24 years,20-24,3314,2007
,Nebraska,31,2007,2007,25-29 years,25-29,2894,2007
,Nebraska,31,2007,2007,30-34 years,30-34,1332,2007
,Nebraska,31,2007,2007,35-39 years,35-39,389,2007
,Nebraska,31,2007,2007,40-44 years,40-44,77,2007
,Nevada,32,2007,2007,Under 15 years,15-,73,2007
,Nevada,32,2007,2007,15 - 17 years,15-17,1292,2007
,Nevada,32,2007,2007,18 - 19 years,18-19,2079,2007
,Nevada,32,2007,2007,20-24 years,20-24,4881,2007
,Nevada,32,2007,2007,25-29 years,25-29,3696,2007
,Nevada,32,2007,2007,30-34 years,30-34,2119,2007
,Nevada,32,2007,2007,35-39 years,35-39,923,2007
,Nevada,32,2007,2007,40-44 years,40-44,187,2007
,New Hampshire,33,2007,2007,15 - 17 years,15-17,202,2007
,New Hampshire,33,2007,2007,18 - 19 years,18-19,605,2007
,New Hampshire,33,2007,2007,20-24 years,20-24,1607,2007
,New Hampshire,33,2007,2007,25-29 years,25-29,1854,2007
,New Hampshire,33,2007,2007,30-34 years,30-34,1258,2007
,New Hampshire,33,2007,2007,35-39 years,35-39,528,2007
,New Hampshire,33,2007,2007,40-44 years,40-44,98,2007
,New Hampshire,33,2007,2007,45-49 years,45-49,13,2007
,New Jersey,34,2007,2007,Under 15 years,15-,115,2007
,New Jersey,34,2007,2007,15 - 17 years,15-17,2042,2007
,New Jersey,34,2007,2007,18 - 19 years,18-19,3980,2007
,New Jersey,34,2007,2007,20-24 years,20-24,10571,2007
,New Jersey,34,2007,2007,25-29 years,25-29,13048,2007
,New Jersey,34,2007,2007,30-34 years,30-34,11665,2007
,New Jersey,34,2007,2007,35-39 years,35-39,4846,2007
,New Jersey,34,2007,2007,40-44 years,40-44,982,2007
,New Jersey,34,2007,2007,45-49 years,45-49,107,2007
,New Jersey,34,2007,2007,50 years and over,50+,11,2007
,New Mexico,35,2007,2007,Under 15 years,15-,71,2007
,New Mexico,35,2007,2007,15 - 17 years,15-17,1418,2007
,New Mexico,35,2007,2007,18 - 19 years,18-19,2254,2007
,New Mexico,35,2007,2007,20-24 years,20-24,4015,2007
,New Mexico,35,2007,2007,25-29 years,25-29,2156,2007
,New Mexico,35,2007,2007,30-34 years,30-34,1058,2007
,New Mexico,35,2007,2007,35-39 years,35-39,512,2007
,New Mexico,35,2007,2007,40-44 years,40-44,101,2007
,New York,36,2007,2007,Under 15 years,15-,188,2007
,New York,36,2007,2007,15 - 17 years,15-17,4865,2007
,New York,36,2007,2007,18 - 19 years,18-19,10000,2007
,New York,36,2007,2007,20-24 years,20-24,28483,2007
,New York,36,2007,2007,25-29 years,25-29,27953,2007
,New York,36,2007,2007,30-34 years,30-34,23209,2007
,New York,36,2007,2007,35-39 years,35-39,10925,2007
,New York,36,2007,2007,40-44 years,40-44,2458,2007
,New York,36,2007,2007,45-49 years,45-49,244,2007
,New York,36,2007,2007,50 years and over,50+,24,2007
,North Carolina,37,2007,2007,Under 15 years,15-,233,2007
,North Carolina,37,2007,2007,15 - 17 years,15-17,4319,2007
,North Carolina,37,2007,2007,18 - 19 years,18-19,7759,2007
,North Carolina,37,2007,2007,20-24 years,20-24,16717,2007
,North Carolina,37,2007,2007,25-29 years,25-29,12724,2007
,North Carolina,37,2007,2007,30-34 years,30-34,7710,2007
,North Carolina,37,2007,2007,35-39 years,35-39,3109,2007
,North Carolina,37,2007,2007,40-44 years,40-44,502,2007
,North Carolina,37,2007,2007,45-49 years,45-49,36,2007
,North Dakota,38,2007,2007,15 - 17 years,15-17,176,2007
,North Dakota,38,2007,2007,18 - 19 years,18-19,404,2007
,North Dakota,38,2007,2007,20-24 years,20-24,1259,2007
,North Dakota,38,2007,2007,25-29 years,25-29,1163,2007
,North Dakota,38,2007,2007,30-34 years,30-34,401,2007
,North Dakota,38,2007,2007,35-39 years,35-39,124,2007
,North Dakota,38,2007,2007,40-44 years,40-44,26,2007
,Ohio,39,2007,2007,Under 15 years,15-,221,2007
,Ohio,39,2007,2007,15 - 17 years,15-17,4379,2007
,Ohio,39,2007,2007,18 - 19 years,18-19,8822,2007
,Ohio,39,2007,2007,20-24 years,20-24,18619,2007
,Ohio,39,2007,2007,25-29 years,25-29,15586,2007
,Ohio,39,2007,2007,30-34 years,30-34,8346,2007
,Ohio,39,2007,2007,35-39 years,35-39,3112,2007
,Ohio,39,2007,2007,40-44 years,40-44,570,2007
,Ohio,39,2007,2007,45-49 years,45-49,47,2007
,Oklahoma,40,2007,2007,Under 15 years,15-,93,2007
,Oklahoma,40,2007,2007,15 - 17 years,15-17,2043,2007
,Oklahoma,40,2007,2007,18 - 19 years,18-19,3826,2007
,Oklahoma,40,2007,2007,20-24 years,20-24,8040,2007
,Oklahoma,40,2007,2007,25-29 years,25-29,4848,2007
,Oklahoma,40,2007,2007,30-34 years,30-34,1750,2007
,Oklahoma,40,2007,2007,35-39 years,35-39,659,2007
,Oklahoma,40,2007,2007,40-44 years,40-44,130,2007
,Oklahoma,40,2007,2007,45-49 years,45-49,11,2007
,Oregon,41,2007,2007,Under 15 years,15-,50,2007
,Oregon,41,2007,2007,15 - 17 years,15-17,1140,2007
,Oregon,41,2007,2007,18 - 19 years,18-19,2444,2007
,Oregon,41,2007,2007,20-24 years,20-24,6282,2007
,Oregon,41,2007,2007,25-29 years,25-29,5122,2007
,Oregon,41,2007,2007,30-34 years,30-34,3418,2007
,Oregon,41,2007,2007,35-39 years,35-39,1385,2007
,Oregon,41,2007,2007,40-44 years,40-44,232,2007
,Oregon,41,2007,2007,45-49 years,45-49,22,2007
,Pennsylvania,42,2007,2007,Under 15 years,15-,186,2007
,Pennsylvania,42,2007,2007,15 - 17 years,15-17,3868,2007
,Pennsylvania,42,2007,2007,18 - 19 years,18-19,7267,2007
,Pennsylvania,42,2007,2007,20-24 years,20-24,16930,2007
,Pennsylvania,42,2007,2007,25-29 years,25-29,16547,2007
,Pennsylvania,42,2007,2007,30-34 years,30-34,10451,2007
,Pennsylvania,42,2007,2007,35-39 years,35-39,4196,2007
,Pennsylvania,42,2007,2007,40-44 years,40-44,749,2007
,Pennsylvania,42,2007,2007,45-49 years,45-49,42,2007
,Rhode Island,44,2007,2007,Under 15 years,15-,13,2007
,Rhode Island,44,2007,2007,15 - 17 years,15-17,345,2007
,Rhode Island,44,2007,2007,18 - 19 years,18-19,619,2007
,Rhode Island,44,2007,2007,20-24 years,20-24,1338,2007
,Rhode Island,44,2007,2007,25-29 years,25-29,1299,2007
,Rhode Island,44,2007,2007,30-34 years,30-34,969,2007
,Rhode Island,44,2007,2007,35-39 years,35-39,447,2007
,Rhode Island,44,2007,2007,40-44 years,40-44,90,2007
,South Carolina,45,2007,2007,Under 15 years,15-,123,2007
,South Carolina,45,2007,2007,15 - 17 years,15-17,2253,2007
,South Carolina,45,2007,2007,18 - 19 years,18-19,4267,2007
,South Carolina,45,2007,2007,20-24 years,20-24,8464,2007
,South Carolina,45,2007,2007,25-29 years,25-29,5824,2007
,South Carolina,45,2007,2007,30-34 years,30-34,3039,2007
,South Carolina,45,2007,2007,35-39 years,35-39,1206,2007
,South Carolina,45,2007,2007,40-44 years,40-44,222,2007
,South Dakota,46,2007,2007,15 - 17 years,15-17,301,2007
,South Dakota,46,2007,2007,18 - 19 years,18-19,641,2007
,South Dakota,46,2007,2007,20-24 years,20-24,1558,2007
,South Dakota,46,2007,2007,25-29 years,25-29,1357,2007
,South Dakota,46,2007,2007,30-34 years,30-34,458,2007
,South Dakota,46,2007,2007,35-39 years,35-39,141,2007
,South Dakota,46,2007,2007,40-44 years,40-44,20,2007
,Tennessee,47,2007,2007,Under 15 years,15-,160,2007
,Tennessee,47,2007,2007,15 - 17 years,15-17,3028,2007
,Tennessee,47,2007,2007,18 - 19 years,18-19,5984,2007
,Tennessee,47,2007,2007,20-24 years,20-24,12128,2007
,Tennessee,47,2007,2007,25-29 years,25-29,8549,2007
,Tennessee,47,2007,2007,30-34 years,30-34,4238,2007
,Tennessee,47,2007,2007,35-39 years,35-39,1602,2007
,Tennessee,47,2007,2007,40-44 years,40-44,267,2007
,Tennessee,47,2007,2007,45-49 years,45-49,10,2007
,Texas,48,2007,2007,Under 15 years,15-,870,2007
,Texas,48,2007,2007,15 - 17 years,15-17,16583,2007
,Texas,48,2007,2007,18 - 19 years,18-19,24896,2007
,Texas,48,2007,2007,20-24 years,20-24,49308,2007
,Texas,48,2007,2007,25-29 years,25-29,35339,2007
,Texas,48,2007,2007,30-34 years,30-34,19752,2007
,Texas,48,2007,2007,35-39 years,35-39,7660,2007
,Texas,48,2007,2007,40-44 years,40-44,1389,2007
,Texas,48,2007,2007,45-49 years,45-49,89,2007
,Utah,49,2007,2007,Under 15 years,15-,26,2007
,Utah,49,2007,2007,15 - 17 years,15-17,1026,2007
,Utah,49,2007,2007,18 - 19 years,18-19,2062,2007
,Utah,49,2007,2007,20-24 years,20-24,7999,2007
,Utah,49,2007,2007,25-29 years,25-29,5175,2007
,Utah,49,2007,2007,30-34 years,30-34,1603,2007
,Utah,49,2007,2007,35-39 years,35-39,515,2007
,Utah,49,2007,2007,40-44 years,40-44,81,2007
,Vermont,50,2007,2007,15 - 17 years,15-17,101,2007
,Vermont,50,2007,2007,18 - 19 years,18-19,332,2007
,Vermont,50,2007,2007,20-24 years,20-24,843,2007
,Vermont,50,2007,2007,25-29 years,25-29,752,2007
,Vermont,50,2007,2007,30-34 years,30-34,550,2007
,Vermont,50,2007,2007,35-39 years,35-39,247,2007
,Vermont,50,2007,2007,40-44 years,40-44,52,2007
,Virginia,51,2007,2007,Under 15 years,15-,118,2007
,Virginia,51,2007,2007,15 - 17 years,15-17,2378,2007
,Virginia,51,2007,2007,18 - 19 years,18-19,5196,2007
,Virginia,51,2007,2007,20-24 years,20-24,13592,2007
,Virginia,51,2007,2007,25-29 years,25-29,12272,2007
,Virginia,51,2007,2007,30-34 years,30-34,8594,2007
,Virginia,51,2007,2007,35-39 years,35-39,3722,2007
,Virginia,51,2007,2007,40-44 years,40-44,668,2007
,Virginia,51,2007,2007,45-49 years,45-49,52,2007
,Washington,53,2007,2007,Under 15 years,15-,88,2007
,Washington,53,2007,2007,15 - 17 years,15-17,2015,2007
,Washington,53,2007,2007,18 - 19 years,18-19,4075,2007
,Washington,53,2007,2007,20-24 years,20-24,10862,2007
,Washington,53,2007,2007,25-29 years,25-29,9659,2007
,Washington,53,2007,2007,30-34 years,30-34,6493,2007
,Washington,53,2007,2007,35-39 years,35-39,2950,2007
,Washington,53,2007,2007,40-44 years,40-44,611,2007
,Washington,53,2007,2007,45-49 years,45-49,56,2007
,West Virginia,54,2007,2007,Under 15 years,15-,29,2007
,West Virginia,54,2007,2007,15 - 17 years,15-17,672,2007
,West Virginia,54,2007,2007,18 - 19 years,18-19,1573,2007
,West Virginia,54,2007,2007,20-24 years,20-24,3304,2007
,West Virginia,54,2007,2007,25-29 years,25-29,2193,2007
,West Virginia,54,2007,2007,30-34 years,30-34,954,2007
,West Virginia,54,2007,2007,35-39 years,35-39,352,2007
,West Virginia,54,2007,2007,40-44 years,40-44,94,2007
,Wisconsin,55,2007,2007,Under 15 years,15-,78,2007
,Wisconsin,55,2007,2007,15 - 17 years,15-17,1712,2007
,Wisconsin,55,2007,2007,18 - 19 years,18-19,3406,2007
,Wisconsin,55,2007,2007,20-24 years,20-24,8428,2007
,Wisconsin,55,2007,2007,25-29 years,25-29,8499,2007
,Wisconsin,55,2007,2007,30-34 years,30-34,4434,2007
,Wisconsin,55,2007,2007,35-39 years,35-39,1488,2007
,Wisconsin,55,2007,2007,40-44 years,40-44,289,2007
,Wisconsin,55,2007,2007,45-49 years,45-49,14,2007
,Wyoming,56,2007,2007,15 - 17 years,15-17,225,2007
,Wyoming,56,2007,2007,18 - 19 years,18-19,527,2007
,Wyoming,56,2007,2007,20-24 years,20-24,1231,2007
,Wyoming,56,2007,2007,25-29 years,25-29,740,2007
,Wyoming,56,2007,2007,30-34 years,30-34,320,2007
,Wyoming,56,2007,2007,35-39 years,35-39,104,2007
,Wyoming,56,2007,2007,40-44 years,40-44,19,2007
---,,,,,,,,2007
"Dataset: Natality, 2007-2024",,,,,,,,2007
Query Parameters:,,,,,,,,2007
Live Birth Order: 1st child born alive to mother,,,,,,,,2007
Year: 2007,,,,,,,,2007
Group By: State; Year; Age of Mother 10,,,,,,,,2007
Show Totals: Disabled,,,,,,,,2007
Show Zero Values: False,,,,,,,,2007
Show Suppressed: False,,,,,,,,2007
"Calculate Rates Per: 1,000",,,,,,,,2007
Population Option: No populations shown because rates were not selected.,,,,,,,,2007
---,,,,,,,,2007
Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information.,,,,,,,,2007
---,,,,,,,,2007
"Query Date: Mar 28, 2026 5:16:36 AM",,,,,,,,2007
---,,,,,,,,2007
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,2007
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2024, as compiled from data provided by",,,,,,,,2007
the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at,,,,,,,,2007
"http://wonder.cdc.gov/natality-current.html on Mar 28, 2026 5:16:36 AM",,,,,,,,2007
---,,,,,,,,2007
Messages:,,,,,,,,2007
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,2007
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,2007
2. Rows with zero Births are hidden. Use Quick Options above to show zero rows.,,,,,,,,2007
3. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,2007
---,,,,,,,,2007
Caveats:,,,,,,,,2007
