year,us_tea_raw_n,us_tea_weight_sum,teayymot1yes,teayymot2yes,teayymot3yes,teayymot4yes,jobs_only_share,jobs_and_income_share,income_only_share,neither_jobs_nor_income_share
2019,475,488.08345111168006,0.6578543079205569,0.6833060162717692,0.3063142093137974,0.4088956699598023,0.1135750546892055,0.2953206152705968,0.3879854010011728,0.2031189290390246
2020,287,286.318971299398,0.6813573590317148,0.6467815659369616,0.2896730931536936,0.4962755093147791,0.1758975368004904,0.3203779725142885,0.3264035934226723,0.1773208972625473
2021,276,292.41909456628605,0.7147342570350267,0.733532476927226,0.412423142718717,0.4571690903533169,0.0764192410767745,0.3807498492765422,0.3527826276506828,0.1900482819960002
